sessionId,moduleCode,sessionType,day,startHour,duration,roomCode,lecturerId,audienceId,notes
1,CS4011,LECTURE,Monday,9,1,CSG-001,5301,LM174-Y1,
2,CS4011,LAB,Wednesday,11,2,CS2-023,7245,LM174-Y1,Intro Java lab
3,MS4012,LECTURE,Tuesday,10,1,CSG-002,8422,LM174-Y1,
4,CS4013,LECTURE,Thursday,9,1,CSG-001,91307,LM174-Y1,
5,MS4014,TUTORIAL,Friday,11,1,GLA-001,6189,LM174-Y1,Problem class

6,CS4211,LECTURE,Monday,11,1,CSG-001,5301,LM174-Y2,
7,CS4211,LAB,Tuesday,14,2,CS2-023,7245,LM174-Y2,Data structures lab
8,CS4212,LECTURE,Wednesday,9,1,CSG-002,8422,LM174-Y2,
9,MS4213,LECTURE,Thursday,12,1,KBG-012,77102,LM174-Y2,
10,CS4214,LAB,Friday,14,2,ERB-001,91307,LM174-Y2,Architecture lab

11,CS4311,LECTURE,Monday,14,1,CSG-001,5301,LM174-Y3,
12,CS4311,LAB,Wednesday,15,2,CS2-023,7245,LM174-Y3,ML lab
13,CS4312,LECTURE,Tuesday,9,1,CSG-002,8422,LM174-Y3,
14,CS4313,LECTURE,Thursday,10,1,CSG-001,91307,LM174-Y3,
15,CS4314,LECTURE,Friday,9,1,KBG-012,77102,LM174-Y3,

16,CS4411,LECTURE,Monday,16,1,CSG-001,5301,LM174-Y4,
17,CS4411,LAB,Tuesday,15,2,ERB-001,7245,LM174-Y4,Deep learning lab
18,CS4412,LECTURE,Wednesday,12,1,CSG-002,8422,LM174-Y4,
19,MS4413,TUTORIAL,Thursday,15,1,GLA-001,77102,LM174-Y4,Discussion seminar
20,CS4414,LECTURE,Friday,11,1,CSG-001,91307,LM174-Y4,
